strategy,Sharpe_i,alpha,s,rho
Equal_Weight,0.6210998866256909,0.25414126174797774,0.9473256961724807,0.8137622735463083
Equal_Weight,0.6464971509507971,0.4027491255287513,0.8915642119812126,0.8304737108759581
Equal_Weight,0.7260448760221768,0.41859492656868424,0.9011949869838741,0.7900905293179675
Equal_Weight,0.6928657620648292,0.35327983450950784,1.0148462612344498,0.703026946564205
Equal_Weight,0.569011473635899,0.23212633922346387,1.075493028568455,0.9757635615766048
Equal_Weight,0.727964693876611,0.08105854239997265,0.9601923942285848,0.7957277560140937
Equal_Weight,0.70546367436340085,0.37578354351508353,0.9476417341003974,0.7149245857959613
Equal_Weight,0.6905284926537875,0.17554153621313834,1.024773390960187,0.9832806952763349
Equal_Weight,0.5873337729759002,0.18505253161235635,0.971491025798905,0.9906218645395711
Equal_Weight,0.6374034925995707,0.10487067942530472,1.139914641832544,0.9494104562327266
Equal_Weight,0.7074339826173595,0.2289433002974569,1.0344330721415589,0.922414806066081
Equal_Weight,0.6206623632572585,0.1723185120847841,1.0152786900943163,0.9675555313471704
Equal_Weight,0.6857867701381398,0.46470765864157604,1.0307161053611869,0.9185185362817719
Equal_Weight,0.6309519008457133,0.1503466048962122,1.0250093725140768,0.8951501470990479
Equal_Weight,0.6062415356384804,0.2261870819676131,0.9369905061383029,0.7129010717151686
Equal_Weight,0.6653764764398253,0.2314760303395781,1.050403594526912,0.966395712736994
Equal_Weight,0.53509324820445,0.12881552409914152,1.0470622175690965,0.8081003027735277
Equal_Weight,0.6351343489286195,0.11318203086186736,1.0687061810851401,0.8552815224044025
Equal_Weight,0.6748799823908718,0.05926379497415675,0.9244136519993374,0.9056229563895613
Equal_Weight,0.6172968573054397,0.06343488284495559,0.9907277234446721,0.8542521101422608
Equal_Weight,0.632683393862918,0.2876476360691726,0.9910526124150477,0.8952163673471659
Equal_Weight,0.6631127974300198,0.30777318433225404,0.9683622830820983,0.9376368316588923
Equal_Weight,0.6887303354423735,0.4933223558841364,0.944641991386611,0.9226932213874534
Equal_Weight,0.6646227867956161,0.32910481350965015,0.9300887302318767,0.8611156020779163
Equal_Weight,0.6107175813651348,0.3172373994045856,0.9468794180018549,0.983584000589326
Equal_Weight,0.6589468232763103,0.022739035537894497,1.044522277149591,0.7792347577167674
Equal_Weight,0.6036086634664237,0.13681277559507998,1.0743515281240126,0.8312537137418985
Equal_Weight,0.6993785973248848,0.24498934455813137,0.9634045149445573,0.8753617100417614
Equal_Weight,0.6889042030098245,0.17938008630627464,0.9895173319971654,0.9595545800868421
Equal_Weight,0.5931040072148754,0.11023551891452352,0.9606633270289004,0.7654012036742642
Equal_Weight,0.6463708358246806,0.5378948972452607,1.0187853302959138,0.9177451270399615
Equal_Weight,0.6223985690994626,0.27747751142524935,0.9021340708800399,0.9917154035996646
Equal_Weight,0.6716813993690455,0.4934487494441468,0.8487205326718513,0.7661956943105905
Equal_Weight,0.6575139663954258,0.11067084856756025,0.9096085863522989,0.977596613811329
Equal_Weight,0.6875094273821478,0.39310823263610584,1.1435206065726942,0.9202375184977427
Equal_Weight,0.6329455782610139,0.3232191748120389,0.9920096790791603,0.9284424274461344
Equal_Weight,0.722192444366395,0.6156025541066973,0.9448186487795016,0.7990793810458854
Equal_Weight,0.561077460361827,0.24604983568925803,1.1448365107968745,0.7467310207663104
Equal_Weight,0.6153845867449301,0.17700074933046858,0.9945615605798608,0.8085615305462852
Equal_Weight,0.6834089300202657,0.21136461178556754,0.9227271456165428,0.9273979726014658
Equal_Weight,0.6359280949981637,0.06319826025349741,0.9796904144893637,0.9516294527798891
Equal_Weight,0.6979340794923422,0.3217283816411973,0.9803686745433193,0.7027321137487887
Equal_Weight,0.6321821416375779,0.1151810589564905,0.9067634559841393,0.949731280351989
Equal_Weight,0.676388042381406,0.22542661578441664,0.869330905729232,0.8643064733128994
Equal_Weight,0.6043838924501327,0.19672958508575047,0.9275871064079543,0.8763861429644748
Equal_Weight,0.6475237132412635,0.3278710525536209,0.9571006483089652,0.713545268611051
Equal_Weight,0.6183840748993773,0.16514641521536066,1.1310211984400742,0.9233136283466592
Equal_Weight,0.5804396972340813,0.17076602644821298,0.9616209865806733,0.769600622728467
Equal_Weight,0.6883327613647601,0.18106934085063273,1.0280114681717913,0.9883871879661456
Equal_Weight,0.6651541410266398,0.18579788392286606,1.0228554084847854,0.7093842411180957
Equal_Weight,0.7837012173028909,0.5558990549879549,0.9897936353041817,0.9924157087458297
Equal_Weight,0.6251736047008397,0.1585352295977689,0.879214322377624,0.897880065976642
Equal_Weight,0.6246927675920939,0.481206512322459,0.9404022671504416,0.9132876724237576
Equal_Weight,0.6428026534514687,0.041308363570075675,0.8321149411327934,0.8329408051911742
Equal_Weight,0.5954503311689116,0.0468963578827324,1.146121189591366,0.9516270357882604
Equal_Weight,0.669004607723485,0.40432343682545063,0.9321916957068128,0.996573703805916
Equal_Weight,0.6310933478045557,0.20545496311924605,1.02642821352426,0.8297284401021897
Equal_Weight,0.6171316051239255,0.13690761474569058,1.0182389239765468,0.893048522202298
Equal_Weight,0.7592056314244193,0.5015777344953931,0.8574810900863935,0.8615804673871026
Equal_Weight,0.6141321560345889,0.36558559704418453,1.0415789240657058,0.7738636864814907
Equal_Weight,0.6318333722910484,0.23171617334611685,1.079351128697253,0.7874308051075786
Equal_Weight,0.7272466272259781,0.2528474750917105,1.1255304710080534,0.9584485292900353
Equal_Weight,0.5959479506953285,0.36599244744526405,0.8947434989259863,0.9673083268804475
Equal_Weight,0.5325802517104712,0.21104670838244094,0.916052879637234,0.77125423126854
Equal_Weight,0.5872121072944293,0.4774491666682489,0.8972392378232175,0.7323512997478246
Equal_Weight,0.5866357429819977,0.19694094814410013,0.9283660846650252,0.7840838889591395
Equal_Weight,0.6413484905680626,0.36756167784065374,1.172118994382009,0.7689526958158239
Equal_Weight,0.6159607439472801,0.1326954926756685,1.0425585904473653,0.767872741445899
Equal_Weight,0.6105379806384837,0.30027156504101266,0.9223868890614931,0.8452025135047734
Equal_Weight,0.6683780939193689,0.11579969007676774,1.0528138183511053,0.9817065177019686
Equal_Weight,0.6118925467179184,0.26347171463632213,0.9071262131741962,0.8177627669181674
