date,strategy,ret,turnover,nav,peak,dd
2010-01-29,Equal_Weight,0.009709639978196892,0,1.0097096399781968,1.0097096399781968,0
2010-02-26,Equal_Weight,-1.1379299494141369e-4,0,1.0095947420942426,1.0097096399781968,-1.1379299494132479e-4
2010-03-31,Equal_Weight,0.007456853248554362,0,1.0171231419265514,1.0171231419265514,0
2010-04-30,Equal_Weight,0.019792902766201815,0,1.0372549613759574,1.0372549613759574,0
2010-05-31,Equal_Weight,0.0033284117427838317,0,1.0407073729696619,1.0407073729696619,0
2010-06-30,Equal_Weight,6.532838600640059e-4,0,1.0413872502994725,1.0413872502994725,0
2010-07-30,Equal_Weight,0.014707118651612784,0,1.0567030561519035,1.0567030561519035,0
2010-08-31,Equal_Weight,0.009299628827388825,0,1.0665300023548836,1.0665300023548836,0
2010-09-30,Equal_Weight,-0.015651946583816197,0,1.0498367317279877,1.0665300023548836,-0.015651946583816058
2010-10-29,Equal_Weight,-0.001720260873817849,0,1.0480307386744991,1.0665300023548836,-0.017345282026326816
2010-11-30,Equal_Weight,0.00779124485389202,0,1.0561962027739176,1.0665300023548836,-0.00968917851176164
2010-12-31,Equal_Weight,0.012105400150526989,0,1.068981880445963,1.068981880445963,0
2011-01-31,Equal_Weight,0.003489138128729075,0,1.0727117058839473,1.0727117058839473,0
2011-02-28,Equal_Weight,-0.0051296917719385465,0,1.0672090254726123,1.0727117058839473,-0.005129691771938455
2011-03-31,Equal_Weight,-0.0015505330233827916,0,1.0655542826357647,1.0727117058839473,-0.00667227103882925
2011-04-29,Equal_Weight,0.0035831481392563543,0,1.0693723214808677,1.0727117058839473,-0.0031130306351302615
2011-05-31,Equal_Weight,0.003710839642695352,0,1.07334059068422,1.07334059068422,0
2011-06-30,Equal_Weight,0.007991636323721301,0,1.0819183383364566,1.0819183383364566,0
2011-07-29,Equal_Weight,0.004124748112683555,0,1.0863809789605876,1.0863809789605876,0
2011-08-31,Equal_Weight,-0.0019024602571133405,0,1.0843141823240312,1.0863809789605876,-0.0019024602571133392
2011-09-30,Equal_Weight,-0.008268354551969965,0,1.0753486882188465,1.0863809789605876,-0.010155084593156609
2011-10-31,Equal_Weight,0.009589686521504251,0,1.0856609450401762,1.0863809789605876,-6.627821495000093e-4
2011-11-30,Equal_Weight,-0.00481203541665459,0,1.080436706122164,1.0863809789605876,-0.005471628234977806
2011-12-30,Equal_Weight,0.009879790018474034,0,1.0911111939069027,1.0911111939069027,0
2012-01-31,Equal_Weight,-0.005092938746594276,0,1.0855542314306117,1.0911111939069027,-0.005092938746594093
2012-02-29,Equal_Weight,0.006221112625126028,0,1.0923075865650234,1.0923075865650234,0
2012-03-30,Equal_Weight,0.01100390731874311,0,1.1043272380111449,1.1043272380111449,0
2012-04-30,Equal_Weight,0.004751799752914076,0,1.1095747799078626,1.1095747799078626,0
2012-05-31,Equal_Weight,0.012154645680829421,0,1.123061268214027,1.123061268214027,0
2012-06-29,Equal_Weight,0.001521172806611829,0,1.1247696384753931,1.1247696384753931,0
2012-07-31,Equal_Weight,0.010137052285494205,0,1.1361714871097546,1.1361714871097546,0
2012-08-31,Equal_Weight,0.01159808815547383,0,1.1493489041769893,1.1493489041769893,0
2012-09-28,Equal_Weight,0.014968270709088603,0,1.1665526697139048,1.1665526697139048,0
2012-10-31,Equal_Weight,0.0032575771901656165,0,1.1703528050818914,1.1703528050818914,0
2012-11-30,Equal_Weight,-0.001890868223413779,0,1.168139822152579,1.1703528050818914,-0.001890868223413746
2012-12-31,Equal_Weight,0.011925176864729162,0,1.1820700961344819,1.1820700961344819,0
2013-01-31,Equal_Weight,-0.005136091466768964,0,1.1759988760006028,1.1820700961344819,-0.005136091466768948
2013-02-28,Equal_Weight,0.011112994414386027,0,1.1890677449409217,1.1890677449409217,0
2013-03-29,Equal_Weight,0.0030065687279878495,0,1.1926427588383202,1.1926427588383202,0
2013-04-30,Equal_Weight,0.0073333825735305376,0,1.2013888644624322,1.2013888644624322,0
2013-05-31,Equal_Weight,-0.00414385228938713,0,1.1964104864659855,1.2013888644624322,-0.0041438522893870325
2013-06-28,Equal_Weight,-0.013452004059573287,0,1.180316367745129,1.2013888644624322,-0.017540113231141248
2013-07-31,Equal_Weight,0.007206548983407456,0,1.1888223754652016,1.2013888644624322,-0.010459967932908638
2013-08-30,Equal_Weight,0.00850346467694491,0,1.1989314845421317,1.2013888644624322,-0.0020454492238031956
2013-09-30,Equal_Weight,-0.002146783726349217,0,1.196357637942109,1.2013888644624322,-0.0041878418130456225
2013-10-31,Equal_Weight,0.005124906505093363,0,1.2024888589832166,1.2024888589832166,0
2013-11-29,Equal_Weight,-0.0028959147567552464,0,1.1990065537516534,1.2024888589832166,-0.002895914756755118
2013-12-31,Equal_Weight,0.011858500761086566,0,1.213224973881865,1.213224973881865,0
2014-01-31,Equal_Weight,-0.0049788401448224665,0,1.207184520677201,1.213224973881865,-0.00497884014482234
2014-02-28,Equal_Weight,0.0012304729936957889,0,1.2086699286283018,1.213224973881865,-0.0037544934794647104
2014-03-31,Equal_Weight,7.488196022904419e-4,0,1.2095750043635578,1.213224973881865,-0.0030084853154882492
2014-04-30,Equal_Weight,0.017725887464334088,0,1.2310157947705775,1.2310157947705775,0
2014-05-30,Equal_Weight,0.004455778062326082,0,1.236500927943293,1.236500927943293,0
2014-06-30,Equal_Weight,-0.001735457403854607,0,1.2343550332530207,1.236500927943293,-0.001735457403854685
2014-07-31,Equal_Weight,0.0056929918476922615,0,1.241382206394488,1.241382206394488,0
2014-08-29,Equal_Weight,0.01170949231816076,0,1.2559181618041657,1.2559181618041657,0
2014-09-30,Equal_Weight,-0.009298711997878371,0,1.244239740524644,1.2559181618041657,-0.009298711997878406
2014-10-31,Equal_Weight,0.002842258458612075,0,1.2477761914516914,1.2559181618041657,-0.006482882882096498
2014-11-28,Equal_Weight,0.004482571321339903,0,1.2533694372229434,1.2559181618041657,-0.0020293715456435693
2014-12-31,Equal_Weight,0.02859539584415568,0,1.2892100324193,1.2892100324193,0
2015-01-30,Equal_Weight,0.008063462881334683,0,1.2996055296619575,1.2996055296619575,0
2015-02-27,Equal_Weight,-0.008450683819731384,0,1.2886229742404096,1.2996055296619575,-0.008450683819731518
