strategy,Sharpe_i,alpha,s,rho,Sharpe_ann
Equal_Weight,0.6210998866256909,0.25414126174797774,0.9473256961724807,0.8137622735463083,2.1515531204219323
Equal_Weight,0.6464971509507971,0.4027491255287513,0.8915642119812126,0.8304737108759581,2.2395318247906126
Equal_Weight,0.7260448760221768,0.41859492656868424,0.901194986983874,0.7900905293179675,2.5150932276909135
Equal_Weight,0.6928657620648292,0.35327983450950784,1.0148462612344498,0.703026946564205,2.400157405442426
Equal_Weight,0.569011473635899,0.23212633922346387,1.075493028568455,0.9757635615766048,1.9711135648540314
Equal_Weight,0.727964693876611,0.08105854239997265,0.9601923942285848,0.7957277560140937,2.521743671821229
Equal_Weight,0.70546367436340085,0.37578354351508353,0.9476417341003974,0.7149245857959613,2.4437978537832716
Equal_Weight,0.6905284926537875,0.17554153621313834,1.024773390960187,0.9832806952763348,2.392060866700624
Equal_Weight,0.5873337729759002,0.18505253161235635,0.971491025798905,0.9906218645395712,2.034583871590767
Equal_Weight,0.6374034925995707,0.10487067942530472,1.139914641832544,0.9494104562327266,2.2080304682086185
Equal_Weight,0.7074339826173595,0.2289433002974569,1.0344330721415589,0.922414806066081,2.450623201788129
Equal_Weight,0.6206623632572585,0.1723185120847841,1.0152786900943165,0.9675555313471704,2.150037495014685
Equal_Weight,0.6857867701381398,0.464707658641576,1.0307161053611869,0.918518536281772,2.375635058075634
Equal_Weight,0.6309519008457133,0.1503466048962122,1.0250093725140768,0.8951501470990479,2.1856814987938717
Equal_Weight,0.6062415356384804,0.2261870819676131,0.9369905061383028,0.7129010717151686,2.1000822827688523
Equal_Weight,0.6653764764398253,0.2314760303395781,1.050403594526912,0.966395712736994,2.304931726709867
Equal_Weight,0.53509324820445,0.12881552409914152,1.0470622175690965,0.8081003027735277,1.8536173853543427
Equal_Weight,0.6351343489286195,0.11318203086186736,1.06870618108514,0.8552815224044025,2.200169923953097
Equal_Weight,0.6748799823908718,0.05926379497415675,0.9244136519993374,0.9056229563895613,2.337852837024358
Equal_Weight,0.6172968573054397,0.06343488284495559,0.990727723444672,0.8542521101422608,2.1383790404112335
Equal_Weight,0.632683393862918,0.2876476360691726,0.9910526124150476,0.8952163673471659,2.1916795665513704
Equal_Weight,0.6631127974300198,0.30777318433225404,0.9683622830820984,0.9376368316588924,2.2970901125958463
Equal_Weight,0.6887303354423735,0.4933223558841364,0.944641991386611,0.9226932213874534,2.3858318674002934
Equal_Weight,0.6646227867956161,0.32910481350965015,0.9300887302318768,0.8611156020779163,2.3023208691960493
Equal_Weight,0.6107175813651348,0.3172373994045856,0.9468794180018548,0.983584000589326,2.115587759999986
Equal_Weight,0.6589468232763103,0.02273903553789449,1.044522277149591,0.7792347577167674,2.282658754801359
Equal_Weight,0.6036086634664237,0.13681277559507998,1.0743515281240126,0.8312537137418985,2.0909617460251795
Equal_Weight,0.6993785973248848,0.24498934455813137,0.9634045149445573,0.8753617100417614,2.4227185285859107
Equal_Weight,0.6889042030098245,0.17938008630627464,0.9895173319971654,0.959554580086842,2.38643416232152
Equal_Weight,0.5931040072148754,0.11023551891452352,0.9606633270289004,0.7654012036742642,2.0545725493377245
Equal_Weight,0.6463708358246806,0.5378948972452607,1.0187853302959138,0.9177451270399616,2.239094256358216
Equal_Weight,0.6223985690994626,0.27747751142524935,0.90213407088004,0.9917154035996646,2.1560518884768753
Equal_Weight,0.6716813993690455,0.4934487494441468,0.8487205326718513,0.7661956943105905,2.3267726204122976
Equal_Weight,0.6575139663954258,0.11067084856756024,0.9096085863522988,0.977596613811329,2.277695192966026
Equal_Weight,0.6875094273821478,0.39310823263610584,1.1435206065726942,0.9202375184977428,2.381602517816931
Equal_Weight,0.6329455782610139,0.3232191748120389,0.9920096790791604,0.9284424274461344,2.1925877999482783
Equal_Weight,0.722192444366395,0.6156025541066973,0.9448186487795016,0.7990793810458854,2.5017480129699114
Equal_Weight,0.561077460361827,0.24604983568925803,1.1448365107968743,0.7467310207663104,1.9436293366567945
Equal_Weight,0.6153845867449301,0.17700074933046858,0.9945615605798608,0.8085615305462852,2.131754740873992
Equal_Weight,0.6834089300202657,0.2113646117855675,0.9227271456165428,0.9273979726014658,2.3673979782827668
Equal_Weight,0.6359280949981637,0.06319826025349741,0.9796904144893636,0.9516294527798892,2.202919540994614
Equal_Weight,0.6979340794923422,0.3217283816411973,0.9803686745433192,0.7027321137487887,2.4177145720291047
Equal_Weight,0.6321821416375779,0.1151810589564905,0.9067634559841392,0.949731280351989,2.189943177907978
Equal_Weight,0.676388042381406,0.22542661578441664,0.869330905729232,0.8643064733128994,2.3430769100732927
Equal_Weight,0.6043838924501327,0.19672958508575047,0.9275871064079544,0.8763861429644748,2.0936472179997474
Equal_Weight,0.6475237132412635,0.3278710525536209,0.9571006483089652,0.713545268611051,2.243087940879057
Equal_Weight,0.6183840748993773,0.16514641521536066,1.1310211984400742,0.9233136283466592,2.142145272634399
Equal_Weight,0.5804396972340813,0.17076602644821298,0.9616209865806732,0.769600622728467,2.0107020926786503
