"date","SPY","TLT","LQD","HYG","GLD","DBC","VNQ","IWM","EFA","EEM"
2010-01-01,105.9447734958,102.374526959634,101.501277836123,98.369621663107,101.328985949974,102.021022089812,98.5375708913739,101.287838221008,102.863519572461,99.5886479938283
2010-01-04,106.045422659077,100.688608347731,102.043030782546,96.3704427504589,97.1825056705649,104.442960742404,97.487575157105,101.655085469084,104.273038482287,98.8164197567203
2010-01-05,107.605206413304,98.8764655716468,103.658302975238,99.4007455898921,96.0058017396747,103.070328574352,95.1788434382456,97.9623262901204,103.052735376811,95.5070021010888
2010-01-06,109.324266318716,100.383813954415,105.06781736797,98.8756275663503,94.5372770275444,101.342052417404,94.8001034468769,98.4744652024305,106.369758422241,97.8772322422512
2010-01-07,113.960658809682,102.326968883468,103.427945723095,98.4918908325085,95.4195078059087,101.674939424408,94.2369639942264,99.5849926519207,105.662834010865,97.4568467434693
2010-01-08,115.163084268602,101.990434242269,102.5906033054,98.3759271814492,96.1535289034246,99.3058367008764,92.7986891128156,102.493364545076,105.862958785299,96.7106710047403
2010-01-11,118.427959218926,103.512977807994,100.587017987516,98.9023238460605,97.4521054000824,100.372064030099,93.7067723928955,104.673368022493,102.0592606916,96.9247841380828
2010-01-12,118.250532292616,104.711803857153,99.028130426758,98.4008333478441,95.765870727092,100.590434801418,90.0351048978578,103.183802682389,98.9472580201967,96.1754024173223
2010-01-13,115.346927165774,103.122091915974,102.719172972956,100.517434284407,95.4701974402617,100.946843022448,92.6749505562262,104.256211115439,98.0327706274471,94.4747848367555
2010-01-14,116.786868644406,101.342719805741,99.5303791789676,99.9651364662641,92.6681596166566,100.996568287979,93.446414727194,101.093385262535,99.8550044368401,95.194898530595
2010-01-15,119.374594681415,99.1545123939777,99.5557988199973,98.4962881955978,90.6308999789049,99.0347222844721,97.0243401798184,100.145654859817,100.592643830161,93.0587457222017
